date,away,home,market,selection,line,away_score,home_score,total_runs,result,shadow_stake,shadow_pnl,actual_stake,actual_pnl,class_at_analysis,prospective,official_source
2026-09-01,Saitama Seibu Lions,Chiba Lotte Marines,spread,Saitama Seibu Lions,1-10,0,1,1,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Saitama Seibu Lions,Chiba Lotte Marines,spread,Chiba Lotte Marines,1-10,0,1,1,WIN,1000,+950,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Saitama Seibu Lions,Chiba Lotte Marines,total,over,7+50,0,1,1,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Saitama Seibu Lions,Chiba Lotte Marines,total,under,7+50,0,1,1,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Hiroshima Carp,Chunichi Dragons,spread,Chunichi Dragons,1+20,5,1,6,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Hiroshima Carp,Chunichi Dragons,spread,Hiroshima Carp,1+20,5,1,6,WIN,1000,+950,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Hiroshima Carp,Chunichi Dragons,total,over,6-50,5,1,6,PARTIAL_LOSS,1000,-500,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Hiroshima Carp,Chunichi Dragons,total,under,6-50,5,1,6,PARTIAL_WIN,1000,+465,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,spread,Fukuoka SoftBank Hawks,1-65,1,2,3,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,spread,Hokkaido Nippon-Ham Fighters,1-65,1,2,3,WIN,1000,+950,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,total,over,7-50,1,2,3,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,total,under,7-50,1,2,3,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Orix Buffaloes,Tohoku Rakuten Golden Eagles,spread,Tohoku Rakuten Golden Eagles,0-75,1,5,6,WIN,1000,+950,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Orix Buffaloes,Tohoku Rakuten Golden Eagles,spread,Orix Buffaloes,0-75,1,5,6,LOSS,1000,-1000,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Orix Buffaloes,Tohoku Rakuten Golden Eagles,total,over,7+25,1,5,6,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Orix Buffaloes,Tohoku Rakuten Golden Eagles,total,under,7+25,1,5,6,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Hanshin Tigers,Tokyo Yakult Swallows,total,over,7-25,6,2,8,WIN,1000,+930,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Hanshin Tigers,Tokyo Yakult Swallows,total,under,7-25,6,2,8,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Yokohama DeNA BayStars,Yomiuri Giants,spread,Yomiuri Giants,1+65,3,4,7,PARTIAL_WIN,1000,+617,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Yokohama DeNA BayStars,Yomiuri Giants,spread,Yokohama DeNA BayStars,1+65,3,4,7,PARTIAL_LOSS,1000,-650,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Yokohama DeNA BayStars,Yomiuri Giants,total,over,6平,3,4,7,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260901.html
2026-09-01,Yokohama DeNA BayStars,Yomiuri Giants,total,under,6平,3,4,7,LOSS,1000,-1000,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260901.html
