date,away,home,market,selection,line,hk_odds,effective_model_probability,market_no_vig_probability,fair_decimal_odds,ev,minimum_decimal_odds,model_expectation,line_expectation,expectation_gap,class_at_analysis,actual_stake,prospective
2026-09-04,Saitama Seibu Lions,Fukuoka SoftBank Hawks,spread,Fukuoka SoftBank Hawks,1-65,0.950,0.5006,0.5000,1.998,-0.0224,2.083,1.514,1.325,+0.189,PASS,0,true
2026-09-04,Saitama Seibu Lions,Fukuoka SoftBank Hawks,spread,Saitama Seibu Lions,1-65,0.950,0.4994,0.5000,2.002,-0.0245,2.088,1.514,1.325,+0.189,PASS,0,true
2026-09-04,Saitama Seibu Lions,Fukuoka SoftBank Hawks,total,over,7平,0.930,0.4301,0.5000,2.325,-0.1500,2.431,6.873,7.000,-0.127,PASS,0,true
2026-09-04,Saitama Seibu Lions,Fukuoka SoftBank Hawks,total,under,7平,0.930,0.5699,0.5000,1.755,0.0883,1.834,6.873,7.000,-0.127,WATCH,0,true
2026-09-04,Yomiuri Giants,Hiroshima Carp,spread,Yomiuri Giants,1+60,0.950,0.4779,0.5000,2.092,-0.0634,2.182,0.212,0.700,-0.488,PASS,0,true
2026-09-04,Yomiuri Giants,Hiroshima Carp,spread,Hiroshima Carp,1+60,0.950,0.5221,0.5000,1.915,0.0168,1.998,0.212,0.700,-0.488,PASS,0,true
2026-09-04,Yomiuri Giants,Hiroshima Carp,total,over,6.5,0.930,0.4904,0.5000,2.039,-0.0536,2.121,6.774,6.500,+0.274,PASS,0,true
2026-09-04,Yomiuri Giants,Hiroshima Carp,total,under,6.5,0.930,0.5096,0.5000,1.962,-0.0164,2.041,6.774,6.500,+0.274,PASS,0,true
2026-09-04,Chiba Lotte Marines,Orix Buffaloes,spread,Chiba Lotte Marines,1+80,0.950,0.5110,0.5000,1.957,-0.0034,2.038,0.349,0.600,-0.251,PASS,0,true
2026-09-04,Chiba Lotte Marines,Orix Buffaloes,spread,Orix Buffaloes,1+80,0.950,0.4890,0.5000,2.045,-0.0449,2.130,0.349,0.600,-0.251,PASS,0,true
2026-09-04,Chiba Lotte Marines,Orix Buffaloes,total,over,7平,0.930,0.4258,0.5000,2.349,-0.1569,2.455,6.815,7.000,-0.185,PASS,0,true
2026-09-04,Chiba Lotte Marines,Orix Buffaloes,total,under,7平,0.930,0.5742,0.5000,1.742,0.0953,1.821,6.815,7.000,-0.185,WATCH,0,true
2026-09-04,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,spread,Hokkaido Nippon-Ham Fighters,1-55,0.950,0.4911,0.5000,2.036,-0.0393,2.124,1.324,1.275,+0.049,PASS,0,true
2026-09-04,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,spread,Tohoku Rakuten Golden Eagles,1-55,0.950,0.5089,0.5000,1.965,-0.0071,2.050,1.324,1.275,+0.049,PASS,0,true
2026-09-04,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,total,over,6-50,0.930,0.6143,0.5000,1.628,0.1780,1.696,7.851,6.250,+1.601,WATCH,0,true
2026-09-04,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,total,under,6-50,0.930,0.3857,0.5000,2.593,-0.2451,2.701,7.851,6.250,+1.601,PASS,0,true
2026-09-04,Chunichi Dragons,Tokyo Yakult Swallows,spread,Chunichi Dragons,1+55,0.950,0.4333,0.5000,2.308,-0.1452,2.407,-0.250,0.725,-0.975,PASS,0,true
2026-09-04,Chunichi Dragons,Tokyo Yakult Swallows,spread,Tokyo Yakult Swallows,1+55,0.950,0.5667,0.5000,1.765,0.0984,1.840,-0.250,0.725,-0.975,WATCH,0,true
2026-09-04,Chunichi Dragons,Tokyo Yakult Swallows,total,over,7-75,0.930,0.5244,0.5000,1.907,0.0118,1.985,8.235,7.375,+0.860,PASS,0,true
2026-09-04,Chunichi Dragons,Tokyo Yakult Swallows,total,under,7-75,0.930,0.4756,0.5000,2.103,-0.0798,2.189,8.235,7.375,+0.860,PASS,0,true
