date,away,home,away_mu,home_mu,expected_total,away_starter,home_starter,park_factor,actual_away_score,actual_home_score,actual_total,model_version,record_origin
2026-09-04,Chiba Lotte Marines,Orix Buffaloes,3.5821,3.2330,6.815,ジャクソン,髙島 泰都,0.9133,1,3,4,npb-pipeline-v0.2,prospective_pre_first_pitch
2026-09-04,Chunichi Dragons,Tokyo Yakult Swallows,3.9925,4.2427,8.235,髙橋 宏斗,高梨 裕稔,1.2192,1,1,2,npb-pipeline-v0.2,prospective_pre_first_pitch
2026-09-04,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,4.5877,3.2638,7.851,北山 亘基,古謝 樹,1.0293,5,2,7,npb-pipeline-v0.2,prospective_pre_first_pitch
2026-09-04,Saitama Seibu Lions,Fukuoka SoftBank Hawks,2.6796,4.1933,6.873,髙橋 光成,前田 悠伍,1.0087,2,8,10,npb-pipeline-v0.2,prospective_pre_first_pitch
2026-09-04,Yomiuri Giants,Hiroshima Carp,3.4930,3.2806,6.774,竹丸 和幸,森下 暢仁,0.9671,3,1,4,npb-pipeline-v0.2,prospective_pre_first_pitch
