date,away,home,market,selection,line,hk_odds,effective_model_probability,market_no_vig_probability,fair_decimal_odds,ev,minimum_decimal_odds,model_expectation,line_expectation,expectation_gap,class_at_analysis,actual_stake,prospective
2026-09-08,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,spread,Chiba Lotte Marines,1+95,0.950,0.4870,0.5000,2.053,-0.0499,2.136,-0.002,0.525,-0.527,PASS,0,true
2026-09-08,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,spread,Tohoku Rakuten Golden Eagles,1+95,0.950,0.5130,0.5000,1.949,0.0003,2.028,-0.002,0.525,-0.527,PASS,0,true
2026-09-08,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,total,over,8-50,0.930,0.4047,0.5000,2.471,-0.2105,2.574,7.750,8.250,-0.500,PASS,0,true
2026-09-08,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,total,under,8-50,0.930,0.5953,0.5000,1.680,0.1432,1.750,7.750,8.250,-0.500,WATCH,0,true
2026-09-08,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,spread,Fukuoka SoftBank Hawks,1-45,0.950,0.4617,0.5000,2.166,-0.0906,2.261,0.954,1.225,-0.271,PASS,0,true
2026-09-08,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,spread,Hokkaido Nippon-Ham Fighters,1-45,0.950,0.5383,0.5000,1.858,0.0451,1.939,0.954,1.225,-0.271,WATCH,0,true
2026-09-08,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,total,over,6.5,0.930,0.5432,0.5000,1.841,0.0484,1.914,7.326,6.500,+0.826,WATCH,0,true
2026-09-08,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,total,under,6.5,0.930,0.4568,0.5000,2.189,-0.1184,2.277,7.326,6.500,+0.826,PASS,0,true
2026-09-08,Hiroshima Carp,Hanshin Tigers,spread,Hanshin Tigers,1-50,0.950,0.4315,0.5000,2.317,-0.1422,2.421,0.835,1.250,-0.415,PASS,0,true
2026-09-08,Hiroshima Carp,Hanshin Tigers,spread,Hiroshima Carp,1-50,0.950,0.5685,0.5000,1.759,0.0974,1.837,0.835,1.250,-0.415,WATCH,0,true
2026-09-08,Hiroshima Carp,Hanshin Tigers,total,over,5-75,0.930,0.4572,0.5000,2.187,-0.1129,2.278,5.493,5.375,+0.118,PASS,0,true
2026-09-08,Hiroshima Carp,Hanshin Tigers,total,under,5-75,0.930,0.5428,0.5000,1.842,0.0457,1.919,5.493,5.375,+0.118,WATCH,0,true
2026-09-08,Saitama Seibu Lions,Orix Buffaloes,spread,Saitama Seibu Lions,1平,0.950,0.4905,0.5000,2.039,-0.0349,2.140,0.852,1.000,-0.148,PASS,0,true
2026-09-08,Saitama Seibu Lions,Orix Buffaloes,spread,Orix Buffaloes,1平,0.950,0.5095,0.5000,1.963,-0.0052,2.061,0.852,1.000,-0.148,PASS,0,true
2026-09-08,Saitama Seibu Lions,Orix Buffaloes,total,over,6平,0.930,0.4241,0.5000,2.358,-0.1647,2.462,5.813,6.000,-0.187,PASS,0,true
2026-09-08,Saitama Seibu Lions,Orix Buffaloes,total,under,6平,0.930,0.5759,0.5000,1.736,0.1012,1.813,5.813,6.000,-0.187,WATCH,0,true
2026-09-08,Tokyo Yakult Swallows,Yokohama DeNA BayStars,spread,Yokohama DeNA BayStars,1-80,0.950,0.4395,0.5000,2.275,-0.1379,2.369,1.040,1.400,-0.360,PASS,0,true
2026-09-08,Tokyo Yakult Swallows,Yokohama DeNA BayStars,spread,Tokyo Yakult Swallows,1-80,0.950,0.5605,0.5000,1.784,0.0897,1.858,1.040,1.400,-0.360,WATCH,0,true
2026-09-08,Tokyo Yakult Swallows,Yokohama DeNA BayStars,total,over,7-25,0.930,0.4241,0.5000,2.358,-0.1653,2.461,6.934,7.125,-0.191,PASS,0,true
2026-09-08,Tokyo Yakult Swallows,Yokohama DeNA BayStars,total,under,7-25,0.930,0.5759,0.5000,1.736,0.1015,1.813,6.934,7.125,-0.191,WATCH,0,true
2026-09-08,Chunichi Dragons,Yomiuri Giants,spread,Yomiuri Giants,1+10,0.950,0.4321,0.5000,2.314,-0.1303,2.426,0.338,0.950,-0.612,PASS,0,true
2026-09-08,Chunichi Dragons,Yomiuri Giants,spread,Chunichi Dragons,1+10,0.950,0.5679,0.5000,1.761,0.0889,1.846,0.338,0.950,-0.612,WATCH,0,true
2026-09-08,Chunichi Dragons,Yomiuri Giants,total,over,6平,0.930,0.4221,0.5000,2.369,-0.1684,2.474,5.789,6.000,-0.211,PASS,0,true
2026-09-08,Chunichi Dragons,Yomiuri Giants,total,under,6平,0.930,0.5779,0.5000,1.730,0.1048,1.806,5.789,6.000,-0.211,WATCH,0,true
