date,away,home,market,selection,line,hk_odds,effective_model_probability,market_no_vig_probability,fair_decimal_odds,ev,minimum_decimal_odds,model_expectation,line_expectation,expectation_gap,class_at_analysis,actual_stake,prospective
2026-09-18,Hiroshima Carp,Hanshin Tigers,spread,Hanshin Tigers,1-20,0.950,0.4512,0.5000,2.216,-0.1013,2.321,0.730,1.100,-0.370,PASS,0,true
2026-09-18,Hiroshima Carp,Hanshin Tigers,spread,Hiroshima Carp,1-20,0.950,0.5488,0.5000,1.822,0.0591,1.909,0.730,1.100,-0.370,WATCH,0,true
2026-09-18,Hiroshima Carp,Hanshin Tigers,total,over,6-50,0.930,0.4064,0.5000,2.460,-0.2057,2.564,5.836,6.250,-0.414,PASS,0,true
2026-09-18,Hiroshima Carp,Hanshin Tigers,total,under,6-50,0.930,0.5936,0.5000,1.685,0.1389,1.755,5.836,6.250,-0.414,WATCH,0,true
2026-09-18,Tokyo Yakult Swallows,Yokohama DeNA BayStars,spread,Yokohama DeNA BayStars,1+30,0.950,0.5136,0.5000,1.947,0.0013,2.035,0.794,0.850,-0.056,PASS,0,true
2026-09-18,Tokyo Yakult Swallows,Yokohama DeNA BayStars,spread,Tokyo Yakult Swallows,1+30,0.950,0.4864,0.5000,2.056,-0.0455,2.149,0.794,0.850,-0.056,PASS,0,true
2026-09-18,Tokyo Yakult Swallows,Yokohama DeNA BayStars,total,over,7平,0.930,0.4753,0.5000,2.104,-0.0729,2.199,7.265,7.000,+0.265,PASS,0,true
2026-09-18,Tokyo Yakult Swallows,Yokohama DeNA BayStars,total,under,7平,0.930,0.5247,0.5000,1.906,0.0112,1.992,7.265,7.000,+0.265,PASS,0,true
2026-09-18,Chunichi Dragons,Yomiuri Giants,spread,Yomiuri Giants,1平,0.920,0.4443,0.5077,2.251,-0.1183,2.363,0.526,1.000,-0.474,PASS,0,true
2026-09-18,Chunichi Dragons,Yomiuri Giants,spread,Chunichi Dragons,1平,0.980,0.5557,0.4923,1.799,0.0808,1.889,0.526,1.000,-0.474,WATCH,0,true
2026-09-18,Chunichi Dragons,Yomiuri Giants,total,over,6+25,0.900,0.4296,0.5078,2.328,-0.1712,2.428,5.739,5.875,-0.136,PASS,0,true
2026-09-18,Chunichi Dragons,Yomiuri Giants,total,under,6+25,0.960,0.5704,0.4922,1.753,0.1099,1.828,5.739,5.875,-0.136,WATCH,0,true
