date,away,home,away_mu,home_mu,expected_total,away_starter,home_starter,park_factor,actual_away_score,actual_home_score,actual_total,model_version,record_origin
2026-09-02,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,4.5431,4.0733,8.616,上沢 直之,達 孝太,1.0752,1,1,2,npb-pipeline-v0.2,prospective_pre_first_pitch
2026-09-02,Hanshin Tigers,Tokyo Yakult Swallows,4.0353,3.7749,7.810,西 勇輝,山野 太一,1.2113,3,5,8,npb-pipeline-v0.2,prospective_pre_first_pitch
2026-09-02,Hiroshima Carp,Chunichi Dragons,2.8996,2.9475,5.847,鈴木 健矢,涌井 秀章,0.9840,4,5,9,npb-pipeline-v0.2,prospective_pre_first_pitch
2026-09-02,Orix Buffaloes,Tohoku Rakuten Golden Eagles,4.0326,4.0267,8.059,岩嵜 翔,荘司 康誠,1.0000,0,4,4,npb-pipeline-v0.2,prospective_pre_first_pitch
2026-09-02,Yokohama DeNA BayStars,Yomiuri Giants,3.0147,2.8929,5.908,東 克樹,西舘 勇陽,0.9166,2,1,3,npb-pipeline-v0.2,prospective_pre_first_pitch
