date,away,home,market,selection,line,away_score,home_score,total_runs,result,shadow_stake,shadow_pnl,actual_stake,actual_pnl,class_at_analysis,prospective,official_source
2026-09-02,Hiroshima Carp,Chunichi Dragons,spread,Chunichi Dragons,1+10,4,5,9,PARTIAL_WIN,1000,+95,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Hiroshima Carp,Chunichi Dragons,spread,Hiroshima Carp,1+10,4,5,9,PARTIAL_LOSS,1000,-100,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Hiroshima Carp,Chunichi Dragons,total,over,6-50,4,5,9,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Hiroshima Carp,Chunichi Dragons,total,under,6-50,4,5,9,LOSS,1000,-1000,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,spread,Fukuoka SoftBank Hawks,1+10,1,1,2,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,spread,Hokkaido Nippon-Ham Fighters,1+10,1,1,2,WIN,1000,+950,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,total,over,8+25,1,1,2,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,total,under,8+25,1,1,2,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Orix Buffaloes,Tohoku Rakuten Golden Eagles,spread,Tohoku Rakuten Golden Eagles,1+40,0,4,4,WIN,1000,+950,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Orix Buffaloes,Tohoku Rakuten Golden Eagles,spread,Orix Buffaloes,1+40,0,4,4,LOSS,1000,-1000,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Orix Buffaloes,Tohoku Rakuten Golden Eagles,total,over,7平,0,4,4,LOSS,1000,-1000,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Orix Buffaloes,Tohoku Rakuten Golden Eagles,total,under,7平,0,4,4,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Hanshin Tigers,Tokyo Yakult Swallows,spread,Hanshin Tigers,1+35,3,5,8,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Hanshin Tigers,Tokyo Yakult Swallows,spread,Tokyo Yakult Swallows,1+35,3,5,8,WIN,1000,+950,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Hanshin Tigers,Tokyo Yakult Swallows,total,over,7-75,3,5,8,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Hanshin Tigers,Tokyo Yakult Swallows,total,under,7-75,3,5,8,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Yokohama DeNA BayStars,Yomiuri Giants,spread,Yokohama DeNA BayStars,1+50,2,1,3,PARTIAL_WIN,1000,+475,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Yokohama DeNA BayStars,Yomiuri Giants,spread,Yomiuri Giants,1+50,2,1,3,PARTIAL_LOSS,1000,-500,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Yokohama DeNA BayStars,Yomiuri Giants,total,over,6-50,2,1,3,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260902.html
2026-09-02,Yokohama DeNA BayStars,Yomiuri Giants,total,under,6-50,2,1,3,WIN,1000,+930,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260902.html
