date,away,home,market,selection,line,hk_odds,effective_model_probability,market_no_vig_probability,fair_decimal_odds,ev,minimum_decimal_odds,model_expectation,line_expectation,expectation_gap,class_at_analysis,actual_stake,prospective
2026-09-02,Hiroshima Carp,Chunichi Dragons,spread,Chunichi Dragons,1+10,0.950,0.3949,0.5000,2.532,-0.1915,2.654,0.048,0.950,-0.902,PASS,0,true
2026-09-02,Hiroshima Carp,Chunichi Dragons,spread,Hiroshima Carp,1+10,0.950,0.6051,0.5000,1.653,0.1499,1.732,0.048,0.950,-0.902,WATCH,0,true
2026-09-02,Hiroshima Carp,Chunichi Dragons,total,over,6-50,0.930,0.4090,0.5000,2.445,-0.2010,2.548,5.847,6.250,-0.403,PASS,0,true
2026-09-02,Hiroshima Carp,Chunichi Dragons,total,under,6-50,0.930,0.5910,0.5000,1.692,0.1342,1.763,5.847,6.250,-0.403,WATCH,0,true
2026-09-02,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,spread,Fukuoka SoftBank Hawks,1+10,0.950,0.4645,0.5000,2.153,-0.0821,2.252,0.470,0.950,-0.480,PASS,0,true
2026-09-02,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,spread,Hokkaido Nippon-Ham Fighters,1+10,0.950,0.5355,0.5000,1.867,0.0385,1.953,0.470,0.950,-0.480,PASS,0,true
2026-09-02,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,total,over,8+25,0.930,0.5139,0.5000,1.946,-0.0078,2.029,8.616,7.875,+0.741,PASS,0,true
2026-09-02,Fukuoka SoftBank Hawks,Hokkaido Nippon-Ham Fighters,total,under,8+25,0.930,0.4861,0.5000,2.057,-0.0582,2.144,8.616,7.875,+0.741,PASS,0,true
2026-09-02,Orix Buffaloes,Tohoku Rakuten Golden Eagles,spread,Tohoku Rakuten Golden Eagles,1+40,0.950,0.4428,0.5000,2.258,-0.1245,2.357,-0.006,0.800,-0.806,PASS,0,true
2026-09-02,Orix Buffaloes,Tohoku Rakuten Golden Eagles,spread,Orix Buffaloes,1+40,0.950,0.5572,0.5000,1.795,0.0789,1.873,-0.006,0.800,-0.806,WATCH,0,true
2026-09-02,Orix Buffaloes,Tohoku Rakuten Golden Eagles,total,over,7平,0.930,0.5579,0.5000,1.792,0.0680,1.873,8.059,7.000,+1.059,WATCH,0,true
2026-09-02,Orix Buffaloes,Tohoku Rakuten Golden Eagles,total,under,7平,0.930,0.4421,0.5000,2.262,-0.1299,2.364,8.059,7.000,+1.059,PASS,0,true
2026-09-02,Hanshin Tigers,Tokyo Yakult Swallows,spread,Hanshin Tigers,1+35,0.950,0.4635,0.5000,2.158,-0.0867,2.254,0.260,0.825,-0.565,PASS,0,true
2026-09-02,Hanshin Tigers,Tokyo Yakult Swallows,spread,Tokyo Yakult Swallows,1+35,0.950,0.5365,0.5000,1.864,0.0417,1.947,0.260,0.825,-0.565,WATCH,0,true
2026-09-02,Hanshin Tigers,Tokyo Yakult Swallows,total,over,7-75,0.930,0.4854,0.5000,2.060,-0.0614,2.145,7.810,7.375,+0.435,PASS,0,true
2026-09-02,Hanshin Tigers,Tokyo Yakult Swallows,total,under,7-75,0.930,0.5146,0.5000,1.943,-0.0066,2.023,7.810,7.375,+0.435,PASS,0,true
2026-09-02,Yokohama DeNA BayStars,Yomiuri Giants,spread,Yokohama DeNA BayStars,1+50,0.950,0.4541,0.5000,2.202,-0.1039,2.299,0.122,0.750,-0.628,PASS,0,true
2026-09-02,Yokohama DeNA BayStars,Yomiuri Giants,spread,Yomiuri Giants,1+50,0.950,0.5459,0.5000,1.832,0.0585,1.913,0.122,0.750,-0.628,WATCH,0,true
2026-09-02,Yokohama DeNA BayStars,Yomiuri Giants,total,over,6-50,0.930,0.4162,0.5000,2.403,-0.1878,2.504,5.908,6.250,-0.342,PASS,0,true
2026-09-02,Yokohama DeNA BayStars,Yomiuri Giants,total,under,6-50,0.930,0.5838,0.5000,1.713,0.1210,1.785,5.908,6.250,-0.342,WATCH,0,true
