date,away,home,market,selection,line,hk_odds,effective_model_probability,market_no_vig_probability,fair_decimal_odds,ev,minimum_decimal_odds,model_expectation,line_expectation,expectation_gap,class_at_analysis,actual_stake,prospective
2026-09-16,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,spread,Tohoku Rakuten Golden Eagles,0.5,0.950,0.4477,0.5000,2.234,-0.1269,2.323,-0.485,0.500,-0.985,PASS,0,true
2026-09-16,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,spread,Chiba Lotte Marines,0.5,0.950,0.5523,0.5000,1.811,0.0769,1.883,-0.485,0.500,-0.985,WATCH,0,true
2026-09-16,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,total,over,7-75,0.930,0.5271,0.5000,1.897,0.0168,1.975,8.270,7.375,+0.895,PASS,0,true
2026-09-16,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,total,under,7-75,0.930,0.4729,0.5000,2.115,-0.0848,2.202,8.270,7.375,+0.895,PASS,0,true
2026-09-16,Fukuoka SoftBank Hawks,Orix Buffaloes,spread,Fukuoka SoftBank Hawks,2+60,0.950,0.4639,0.5000,2.156,-0.0915,2.246,1.677,1.700,-0.023,PASS,0,true
2026-09-16,Fukuoka SoftBank Hawks,Orix Buffaloes,spread,Orix Buffaloes,2+60,0.950,0.5361,0.5000,1.865,0.0436,1.943,1.677,1.700,-0.023,WATCH,0,true
2026-09-16,Fukuoka SoftBank Hawks,Orix Buffaloes,total,over,7.5,0.930,0.4366,0.5000,2.291,-0.1575,2.382,7.461,7.500,-0.039,PASS,0,true
2026-09-16,Fukuoka SoftBank Hawks,Orix Buffaloes,total,under,7.5,0.930,0.5634,0.5000,1.775,0.0875,1.846,7.461,7.500,-0.039,WATCH,0,true
