date,away,home,market,selection,line,hk_odds,effective_model_probability,market_no_vig_probability,fair_decimal_odds,ev,minimum_decimal_odds,model_expectation,line_expectation,expectation_gap,class_at_analysis,actual_stake,prospective
2026-09-13,Chunichi Dragons,Hanshin Tigers,spread,Hanshin Tigers,1-15,0.950,0.4545,0.5000,2.200,-0.0946,2.306,0.720,1.075,-0.355,PASS,0,true
2026-09-13,Chunichi Dragons,Hanshin Tigers,spread,Chunichi Dragons,1-15,0.950,0.5455,0.5000,1.833,0.0531,1.921,0.720,1.075,-0.355,WATCH,0,true
2026-09-13,Chunichi Dragons,Hanshin Tigers,total,over,5-75,0.930,0.4862,0.5000,2.057,-0.0592,2.142,5.728,5.375,+0.353,PASS,0,true
2026-09-13,Chunichi Dragons,Hanshin Tigers,total,under,5-75,0.930,0.5138,0.5000,1.946,-0.0081,2.027,5.728,5.375,+0.353,PASS,0,true
2026-09-13,Hiroshima Carp,Tokyo Yakult Swallows,spread,Tokyo Yakult Swallows,1+90,0.950,0.4670,0.5000,2.141,-0.0881,2.228,-0.177,0.550,-0.727,PASS,0,true
2026-09-13,Hiroshima Carp,Tokyo Yakult Swallows,spread,Hiroshima Carp,1+90,0.950,0.5330,0.5000,1.876,0.0388,1.952,-0.177,0.550,-0.727,PASS,0,true
2026-09-13,Hiroshima Carp,Tokyo Yakult Swallows,total,over,7+25,0.930,0.5719,0.5000,1.748,0.0949,1.825,8.059,6.875,+1.184,WATCH,0,true
2026-09-13,Hiroshima Carp,Tokyo Yakult Swallows,total,under,7+25,0.930,0.4281,0.5000,2.336,-0.1589,2.438,8.059,6.875,+1.184,PASS,0,true
2026-09-13,Yomiuri Giants,Yokohama DeNA BayStars,spread,Yokohama DeNA BayStars,1+95,0.950,0.4021,0.5000,2.487,-0.2144,2.587,-0.859,0.525,-1.384,PASS,0,true
2026-09-13,Yomiuri Giants,Yokohama DeNA BayStars,spread,Yomiuri Giants,1+95,0.950,0.5979,0.5000,1.672,0.1648,1.740,-0.859,0.525,-1.384,WATCH,0,true
2026-09-13,Yomiuri Giants,Yokohama DeNA BayStars,total,over,7-75,0.930,0.4504,0.5000,2.220,-0.1269,2.312,7.450,7.375,+0.075,PASS,0,true
2026-09-13,Yomiuri Giants,Yokohama DeNA BayStars,total,under,7-75,0.930,0.5496,0.5000,1.819,0.0590,1.894,7.450,7.375,+0.075,WATCH,0,true
