date,away,home,market,selection,line,hk_odds,effective_model_probability,market_no_vig_probability,fair_decimal_odds,ev,minimum_decimal_odds,model_expectation,line_expectation,expectation_gap,class_at_analysis,actual_stake
2026-08-27,Fukuoka SoftBank Hawks,Chiba Lotte Marines,spread,Fukuoka SoftBank Hawks,2+90,0.950,0.5129,0.5000,1.950,0.0001,2.028,2.054,1.550,+0.504,PASS,0
2026-08-27,Fukuoka SoftBank Hawks,Chiba Lotte Marines,spread,Chiba Lotte Marines,2+90,0.950,0.4871,0.5000,2.053,-0.0497,2.136,2.054,1.550,+0.504,PASS,0
2026-08-27,Fukuoka SoftBank Hawks,Chiba Lotte Marines,total,over,8平,0.930,0.5345,0.5000,1.871,0.0292,1.952,9.016,8.000,+1.016,PASS,0
2026-08-27,Fukuoka SoftBank Hawks,Chiba Lotte Marines,total,under,8平,0.930,0.4655,0.5000,2.148,-0.0940,2.241,9.016,8.000,+1.016,PASS,0
2026-08-27,Hanshin Tigers,Chunichi Dragons,spread,Hanshin Tigers,1+90,0.950,0.4660,0.5000,2.146,-0.0899,2.233,-0.145,0.550,-0.695,PASS,0
2026-08-27,Hanshin Tigers,Chunichi Dragons,spread,Chunichi Dragons,1+90,0.950,0.5340,0.5000,1.873,0.0407,1.949,-0.145,0.550,-0.695,WATCH,0
2026-08-27,Hanshin Tigers,Chunichi Dragons,total,over,7+50,0.930,0.4407,0.5000,2.269,-0.1406,2.366,6.618,6.750,-0.132,PASS,0
2026-08-27,Hanshin Tigers,Chunichi Dragons,total,under,7+50,0.930,0.5593,0.5000,1.788,0.0748,1.864,6.618,6.750,-0.132,WATCH,0
2026-08-27,Yokohama DeNA BayStars,Hiroshima Carp,spread,Yokohama DeNA BayStars,1+60,0.950,0.4371,0.5000,2.288,-0.1379,2.386,-0.147,0.700,-0.847,PASS,0
2026-08-27,Yokohama DeNA BayStars,Hiroshima Carp,spread,Hiroshima Carp,1+60,0.950,0.5629,0.5000,1.776,0.0912,1.853,-0.147,0.700,-0.847,WATCH,0
2026-08-27,Yokohama DeNA BayStars,Hiroshima Carp,total,over,6+25,0.930,0.5306,0.5000,1.885,0.0225,1.965,6.600,5.875,+0.725,PASS,0
2026-08-27,Yokohama DeNA BayStars,Hiroshima Carp,total,under,6+25,0.930,0.4694,0.5000,2.130,-0.0877,2.222,6.600,5.875,+0.725,PASS,0
2026-08-27,Tohoku Rakuten Golden Eagles,Orix Buffaloes,spread,Orix Buffaloes,1+80,0.950,0.5105,0.5000,1.959,-0.0043,2.040,0.329,0.600,-0.271,PASS,0
2026-08-27,Tohoku Rakuten Golden Eagles,Orix Buffaloes,spread,Tohoku Rakuten Golden Eagles,1+80,0.950,0.4895,0.5000,2.043,-0.0438,2.128,0.329,0.600,-0.271,PASS,0
2026-08-27,Tohoku Rakuten Golden Eagles,Orix Buffaloes,total,over,7-50,0.930,0.2897,0.5000,3.452,-0.4156,3.598,5.828,7.250,-1.422,PASS,0
2026-08-27,Tohoku Rakuten Golden Eagles,Orix Buffaloes,total,under,7-50,0.930,0.7103,0.5000,1.408,0.3496,1.468,5.828,7.250,-1.422,WATCH,0
2026-08-27,Yomiuri Giants,Tokyo Yakult Swallows,spread,Yomiuri Giants,1+15,0.950,0.4725,0.5000,2.116,-0.0687,2.213,0.521,0.925,-0.404,PASS,0
2026-08-27,Yomiuri Giants,Tokyo Yakult Swallows,spread,Tokyo Yakult Swallows,1+15,0.950,0.5275,0.5000,1.896,0.0250,1.982,0.521,0.925,-0.404,PASS,0
2026-08-27,Yomiuri Giants,Tokyo Yakult Swallows,total,over,8.5,0.930,0.4317,0.5000,2.317,-0.1669,2.409,8.227,8.500,-0.273,PASS,0
2026-08-27,Yomiuri Giants,Tokyo Yakult Swallows,total,under,8.5,0.930,0.5683,0.5000,1.760,0.0969,1.830,8.227,8.500,-0.273,WATCH,0
