date,away,home,hcap_side,hcap,hcap_odds,total,total_odds,hcap_odds_dog,total_odds_under
2026-09-11,千葉羅德,福岡軟銀鷹,home,2+5,0.920,7.5,0.900,0.980,0.960
2026-09-11,西武獅,歐力士猛牛,away,1+10,0.920,7平,0.900,0.980,0.960
2026-09-11,橫濱DeNA灣星,廣島鯉魚,away,1+40,0.950,7+75,0.930,0.950,0.930
