date,away,home,hcap_side,hcap,hcap_odds,total,total_odds
2026-09-06,橫濱DeNA灣星,阪神虎,home,1+10,0.950,6.5,0.930
2026-09-06,讀賣巨人,廣島鯉魚,away,0-20,0.950,6+75,0.930
