date,away,home,market,selection,line,away_score,home_score,total_runs,result,shadow_stake,shadow_pnl,actual_stake,actual_pnl,class_at_analysis,official_source
2026-08-29,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,spread,Hokkaido Nippon-Ham Fighters,1+90,7,9,16,WIN,1000,+950,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,spread,Chiba Lotte Marines,1+90,7,9,16,LOSS,1000,-1000,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,total,over,9+75,7,9,16,WIN,1000,+930,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,total,under,9+75,7,9,16,LOSS,1000,-1000,0,+0,WATCH,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,spread,Saitama Seibu Lions,1平,0,1,1,PUSH,1000,+0,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,spread,Tohoku Rakuten Golden Eagles,1平,0,1,1,PUSH,1000,+0,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,total,over,6.5,0,1,1,LOSS,1000,-1000,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,total,under,6.5,0,1,1,WIN,1000,+930,0,+0,WATCH,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Yomiuri Giants,Hanshin Tigers,spread,Hanshin Tigers,1+10,1,4,5,WIN,1000,+950,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Yomiuri Giants,Hanshin Tigers,spread,Yomiuri Giants,1+10,1,4,5,LOSS,1000,-1000,0,+0,WATCH,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Yomiuri Giants,Hanshin Tigers,total,over,6-25,1,4,5,LOSS,1000,-1000,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Yomiuri Giants,Hanshin Tigers,total,under,6-25,1,4,5,WIN,1000,+930,0,+0,WATCH,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Tokyo Yakult Swallows,Hiroshima Carp,spread,Hiroshima Carp,1+90,9,1,10,LOSS,1000,-1000,0,+0,WATCH,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Tokyo Yakult Swallows,Hiroshima Carp,spread,Tokyo Yakult Swallows,1+90,9,1,10,WIN,1000,+950,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Tokyo Yakult Swallows,Hiroshima Carp,total,over,6-50,9,1,10,WIN,1000,+930,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Tokyo Yakult Swallows,Hiroshima Carp,total,under,6-50,9,1,10,LOSS,1000,-1000,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Fukuoka SoftBank Hawks,Orix Buffaloes,spread,Fukuoka SoftBank Hawks,2+90,3,4,7,LOSS,1000,-1000,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Fukuoka SoftBank Hawks,Orix Buffaloes,spread,Orix Buffaloes,2+90,3,4,7,WIN,1000,+950,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Fukuoka SoftBank Hawks,Orix Buffaloes,total,over,7-50,3,4,7,PARTIAL_LOSS,1000,-500,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Fukuoka SoftBank Hawks,Orix Buffaloes,total,under,7-50,3,4,7,PARTIAL_WIN,1000,+465,0,+0,WATCH,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Chunichi Dragons,Yokohama DeNA BayStars,spread,Yokohama DeNA BayStars,1+40,0,1,1,PARTIAL_WIN,1000,+380,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Chunichi Dragons,Yokohama DeNA BayStars,spread,Chunichi Dragons,1+40,0,1,1,PARTIAL_LOSS,1000,-400,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Chunichi Dragons,Yokohama DeNA BayStars,total,over,8+75,0,1,1,LOSS,1000,-1000,0,+0,PASS,https://npb.jp/bis/2026/games/gm20260829.html
2026-08-29,Chunichi Dragons,Yokohama DeNA BayStars,total,under,8+75,0,1,1,WIN,1000,+930,0,+0,WATCH,https://npb.jp/bis/2026/games/gm20260829.html
