date,away,home,market,selection,line,hk_odds,effective_model_probability,market_no_vig_probability,fair_decimal_odds,ev,minimum_decimal_odds,model_expectation,line_expectation,expectation_gap,class_at_analysis,actual_stake
2026-08-29,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,spread,Hokkaido Nippon-Ham Fighters,1+90,0.950,0.4920,0.5000,2.032,-0.0400,2.115,0.078,0.550,-0.472,PASS,0
2026-08-29,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,spread,Chiba Lotte Marines,1+90,0.950,0.5080,0.5000,1.969,-0.0093,2.048,0.078,0.550,-0.472,PASS,0
2026-08-29,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,total,over,9+75,0.930,0.4275,0.5000,2.339,-0.1708,2.435,8.329,8.625,-0.296,PASS,0
2026-08-29,Chiba Lotte Marines,Hokkaido Nippon-Ham Fighters,total,under,9+75,0.930,0.5725,0.5000,1.747,0.1024,1.818,8.329,8.625,-0.296,WATCH,0
2026-08-29,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,spread,Saitama Seibu Lions,1平,0.950,0.4627,0.5000,2.161,-0.0801,2.267,0.626,1.000,-0.374,PASS,0
2026-08-29,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,spread,Tohoku Rakuten Golden Eagles,1平,0.950,0.5373,0.5000,1.861,0.0392,1.952,0.626,1.000,-0.374,PASS,0
2026-08-29,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,total,over,6.5,0.930,0.4599,0.5000,2.174,-0.1124,2.261,6.487,6.500,-0.013,PASS,0
2026-08-29,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,total,under,6.5,0.930,0.5401,0.5000,1.852,0.0424,1.926,6.487,6.500,-0.013,WATCH,0
2026-08-29,Yomiuri Giants,Hanshin Tigers,spread,Hanshin Tigers,1+10,0.950,0.4291,0.5000,2.331,-0.1365,2.442,0.282,0.950,-0.668,PASS,0
2026-08-29,Yomiuri Giants,Hanshin Tigers,spread,Yomiuri Giants,1+10,0.950,0.5709,0.5000,1.752,0.0947,1.835,0.282,0.950,-0.668,WATCH,0
2026-08-29,Yomiuri Giants,Hanshin Tigers,total,over,6-25,0.930,0.4588,0.5000,2.180,-0.1067,2.273,6.181,6.125,+0.056,PASS,0
2026-08-29,Yomiuri Giants,Hanshin Tigers,total,under,6-25,0.930,0.5412,0.5000,1.848,0.0415,1.927,6.181,6.125,+0.056,WATCH,0
2026-08-29,Tokyo Yakult Swallows,Hiroshima Carp,spread,Hiroshima Carp,1+90,0.950,0.5559,0.5000,1.799,0.0825,1.872,0.660,0.550,+0.110,WATCH,0
2026-08-29,Tokyo Yakult Swallows,Hiroshima Carp,spread,Tokyo Yakult Swallows,1+90,0.950,0.4441,0.5000,2.252,-0.1316,2.344,0.660,0.550,+0.110,PASS,0
2026-08-29,Tokyo Yakult Swallows,Hiroshima Carp,total,over,6-50,0.930,0.4720,0.5000,2.119,-0.0850,2.207,6.400,6.250,+0.150,PASS,0
2026-08-29,Tokyo Yakult Swallows,Hiroshima Carp,total,under,6-50,0.930,0.5280,0.5000,1.894,0.0181,1.973,6.400,6.250,+0.150,PASS,0
2026-08-29,Fukuoka SoftBank Hawks,Orix Buffaloes,spread,Fukuoka SoftBank Hawks,2+90,0.950,0.4987,0.5000,2.005,-0.0273,2.086,1.875,1.550,+0.325,PASS,0
2026-08-29,Fukuoka SoftBank Hawks,Orix Buffaloes,spread,Orix Buffaloes,2+90,0.950,0.5013,0.5000,1.995,-0.0221,2.075,1.875,1.550,+0.325,PASS,0
2026-08-29,Fukuoka SoftBank Hawks,Orix Buffaloes,total,over,7-50,0.930,0.4549,0.5000,2.198,-0.1150,2.292,7.384,7.250,+0.134,PASS,0
2026-08-29,Fukuoka SoftBank Hawks,Orix Buffaloes,total,under,7-50,0.930,0.5451,0.5000,1.835,0.0490,1.912,7.384,7.250,+0.134,WATCH,0
2026-08-29,Chunichi Dragons,Yokohama DeNA BayStars,spread,Yokohama DeNA BayStars,1+40,0.950,0.4646,0.5000,2.153,-0.0851,2.248,0.245,0.800,-0.555,PASS,0
2026-08-29,Chunichi Dragons,Yokohama DeNA BayStars,spread,Chunichi Dragons,1+40,0.950,0.5354,0.5000,1.868,0.0399,1.950,0.245,0.800,-0.555,PASS,0
2026-08-29,Chunichi Dragons,Yokohama DeNA BayStars,total,over,8+75,0.930,0.4151,0.5000,2.409,-0.1950,2.507,7.334,7.625,-0.291,PASS,0
2026-08-29,Chunichi Dragons,Yokohama DeNA BayStars,total,under,8+75,0.930,0.5849,0.5000,1.710,0.1263,1.780,7.334,7.625,-0.291,WATCH,0
