date,away,home,market,selection,line,away_score,home_score,total_runs,result,shadow_stake,shadow_pnl,actual_stake,actual_pnl,class_at_analysis,prospective,official_source
2026-09-09,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,spread,Tohoku Rakuten Golden Eagles,1+75,4,10,14,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,spread,Chiba Lotte Marines,1+75,4,10,14,WIN,1000,+950,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,total,over,8+50,4,10,14,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,total,under,8+50,4,10,14,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,spread,Fukuoka SoftBank Hawks,1平,4,5,9,PUSH,1000,+0,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,spread,Hokkaido Nippon-Ham Fighters,1平,4,5,9,PUSH,1000,+0,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,total,over,7-25,4,5,9,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Hokkaido Nippon-Ham Fighters,Fukuoka SoftBank Hawks,total,under,7-25,4,5,9,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Hiroshima Carp,Hanshin Tigers,spread,Hanshin Tigers,1-75,3,1,4,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Hiroshima Carp,Hanshin Tigers,spread,Hiroshima Carp,1-75,3,1,4,WIN,1000,+950,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Hiroshima Carp,Hanshin Tigers,total,over,5-25,3,1,4,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Hiroshima Carp,Hanshin Tigers,total,under,5-25,3,1,4,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Saitama Seibu Lions,Orix Buffaloes,spread,Orix Buffaloes,1+85,8,0,8,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Saitama Seibu Lions,Orix Buffaloes,spread,Saitama Seibu Lions,1+85,8,0,8,WIN,1000,+950,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Saitama Seibu Lions,Orix Buffaloes,total,over,7平,8,0,8,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Saitama Seibu Lions,Orix Buffaloes,total,under,7平,8,0,8,LOSS,1000,-1000,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Tokyo Yakult Swallows,Yokohama DeNA BayStars,spread,Yokohama DeNA BayStars,1+50,2,9,11,WIN,1000,+950,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Tokyo Yakult Swallows,Yokohama DeNA BayStars,spread,Tokyo Yakult Swallows,1+50,2,9,11,LOSS,1000,-1000,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Tokyo Yakult Swallows,Yokohama DeNA BayStars,total,over,7平,2,9,11,WIN,1000,+930,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Tokyo Yakult Swallows,Yokohama DeNA BayStars,total,under,7平,2,9,11,LOSS,1000,-1000,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Chunichi Dragons,Yomiuri Giants,spread,Yomiuri Giants,1+75,1,5,6,WIN,1000,+950,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Chunichi Dragons,Yomiuri Giants,spread,Chunichi Dragons,1+75,1,5,6,LOSS,1000,-1000,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Chunichi Dragons,Yomiuri Giants,total,over,6平,1,5,6,PUSH,1000,+0,0,+0,PASS,true,https://npb.jp/bis/2026/games/gm20260909.html
2026-09-09,Chunichi Dragons,Yomiuri Giants,total,under,6平,1,5,6,PUSH,1000,+0,0,+0,WATCH,true,https://npb.jp/bis/2026/games/gm20260909.html
